id,title,runningTimeInMinutes,releaseDate,certificate,rating,ratingcount,text
tt0082971,Raiders of the Lost Ark,115,1981-06-12,PG,8.4,1028082,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers."
tt0082971,Raiders of the Lost Ark,115,1981-06-12,PG,8.4,1028082,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers."
tt0167261,The Lord of the Rings: The Two Towers,179,2002-12-18,PG-13,8.8,1761194,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
tt0092005,Stand by Me,89,1986-08-22,R,8.1,435706,A writer recounts a childhood journey with his friends to find the body of a missing boy.
tt1677720,Ready Player One,140,2018-03-29,PG-13,7.4,475624,"When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world."
tt2015381,Guardians of the Galaxy,121,2014-08-01,PG-13,8.0,1261027,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.
tt0120201,Starship Troopers,129,1997-11-07,R,7.3,314973,"Humans in a fascist, militaristic future wage war with giant alien bugs."
tt0145487,Spider-Man,121,2002-05-03,PG-13,7.4,868590,"After being bitten by a genetically-modified spider, a shy teenager gains spider-like abilities that he uses to fight injustice as a masked superhero and face a vengeful enemy."
tt0087182,Dune,137,1984-12-14,PG-13,6.3,170254,A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis to free their desert world from the emperor's rule.
tt0177789,Galaxy Quest,102,1999-12-25,PG,7.4,175489,"The alumni cast of a space opera television series have to play their roles as the real thing when an alien race needs their help. However, they also have to defend both Earth and the alien race from a reptilian warlord."
tt4123432,Fantastic Beasts: The Secrets of Dumbledore,142,2022-04-15,PG-13,6.2,166117,Professor Albus Dumbledore must assist Newt Scamander and his partners as Grindelwald begins to lead an army to eliminate all Muggles.
